"模块中文","技能中文","对应领域","文件名","大小KB"
"产品合规法务","初始化访谈","product-legal","产品合规法务-初始化访谈.zip","34"
"产品合规法务","个性化配置","product-legal","产品合规法务-个性化配置.zip","23"
"产品合规法务","功能风险评估","product-legal","产品合规法务-功能风险评估.zip","24"
"产品合规法务","广告宣传审查","product-legal","产品合规法务-广告宣传审查.zip","27"
"产品合规法务","快速合规判断","product-legal","产品合规法务-快速合规判断.zip","24"
"产品合规法务","上线审查","product-legal","产品合规法务-上线审查.zip","31"
"产品合规法务","事项工作区","product-legal","产品合规法务-事项工作区.zip","24"
"法律诊所－法律援助","白话函件","legal-clinic","法律诊所－法律援助-白话函件.zip","22"
"法律诊所－法律援助","表单生成","legal-clinic","法律诊所－法律援助-表单生成.zip","22"
"法律诊所－法律援助","初始化访谈","legal-clinic","法律诊所－法律援助-初始化访谈.zip","35"
"法律诊所－法律援助","法律备忘录","legal-clinic","法律诊所－法律援助-法律备忘录.zip","26"
"法律诊所－法律援助","法律检索路线图","legal-clinic","法律诊所－法律援助-法律检索路线图.zip","26"
"法律诊所－法律援助","法律文书草拟","legal-clinic","法律诊所－法律援助-法律文书草拟.zip","25"
"法律诊所－法律援助","个性化配置","legal-clinic","法律诊所－法律援助-个性化配置.zip","24"
"法律诊所－法律援助","客户沟通记录","legal-clinic","法律诊所－法律援助-客户沟通记录.zip","24"
"法律诊所－法律援助","客户函件","legal-clinic","法律诊所－法律援助-客户函件.zip","25"
"法律诊所－法律援助","客户接谈","legal-clinic","法律诊所－法律援助-客户接谈.zip","27"
"法律诊所－法律援助","期限管理","legal-clinic","法律诊所－法律援助-期限管理.zip","26"
"法律诊所－法律援助","学期交接","legal-clinic","法律诊所－法律援助-学期交接.zip","25"
"法律诊所－法律援助","诊所搭建指南","legal-clinic","法律诊所－法律援助-诊所搭建指南.zip","27"
"法律诊所－法律援助","诊所上手培训","legal-clinic","法律诊所－法律援助-诊所上手培训.zip","25"
"法律诊所－法律援助","指导律师审阅队列","legal-clinic","法律诊所－法律援助-指导律师审阅队列.zip","24"
"法律诊所－法律援助","状态汇报","legal-clinic","法律诊所－法律援助-状态汇报.zip","25"
"公司与交易法务","表格式尽调审查","corporate-legal","公司与交易法务-表格式尽调审查.zip","36"
"公司与交易法务","并购后整合管理","corporate-legal","公司与交易法务-并购后整合管理.zip","31"
"公司与交易法务","初始化访谈","corporate-legal","公司与交易法务-初始化访谈.zip","37"
"公司与交易法务","董事会－股东会会议记录","corporate-legal","公司与交易法务-董事会－股东会会议记录.zip","28"
"公司与交易法务","个性化配置","corporate-legal","公司与交易法务-个性化配置.zip","25"
"公司与交易法务","交割清单","corporate-legal","公司与交易法务-交割清单.zip","28"
"公司与交易法务","交易团队摘要","corporate-legal","公司与交易法务-交易团队摘要.zip","25"
"公司与交易法务","尽调问题提取","corporate-legal","公司与交易法务-尽调问题提取.zip","28"
"公司与交易法务","人工智能工具交接","corporate-legal","公司与交易法务-人工智能工具交接.zip","25"
"公司与交易法务","事项工作区","corporate-legal","公司与交易法务-事项工作区.zip","26"
"公司与交易法务","书面决议－同意书","corporate-legal","公司与交易法务-书面决议－同意书.zip","30"
"公司与交易法务","重大合同清单","corporate-legal","公司与交易法务-重大合同清单.zip","25"
"公司与交易法务","主体合规","corporate-legal","公司与交易法务-主体合规.zip","30"
"技能治理中心","初始化访谈","legal-builder-hub","技能治理中心-初始化访谈.zip","29"
"技能治理中心","个性化配置","legal-builder-hub","技能治理中心-个性化配置.zip","20"
"技能治理中心","技能安装","legal-builder-hub","技能治理中心-技能安装.zip","33"
"技能治理中心","技能更新检查","legal-builder-hub","技能治理中心-技能更新检查.zip","22"
"技能治理中心","技能管理","legal-builder-hub","技能治理中心-技能管理.zip","20"
